run_id,cell_id,backend,cache_state,workers,n_patches,batch_size,warmup_batches,timed_batches,time_to_first_batch_ms,throughput_samples_per_sec,timed_wall_seconds,samples_timed,peak_cpu_rss_gb_global,peak_vram_allocated_gb,peak_vram_reserved_gb,gpu_starvation_wait_ms_total,gpu_starvation_wait_ms_mean,replacement_wait_ms_total
20260228_195428,custom_fused__warm_pool__w0__n16__b1,custom_fused,warm_pool,0,16,1,3,10,7316.274404991418,2.332466859231427,4.2873063599690795,10,1.7163963317871094,0.0,0.0,19760.86953515187,1411.4906810822763,0.0
20260228_195428,custom_fused__warm_pool__w0__n16__b4,custom_fused,warm_pool,0,16,4,3,10,12371.95259006694,1.1760732874308846,34.011485872091725,40,1.7650680541992188,0.0,0.0,50384.49490745552,3598.89249338968,0.0
20260228_195428,custom_fused__warm_pool__w0__n64__b1,custom_fused,warm_pool,0,64,1,3,10,5424.445593962446,2.390607715391941,4.183036779984832,10,1.7504692077636719,0.0,0.0,16358.013364253566,1168.4295260181118,0.0
20260228_195428,custom_fused__warm_pool__w0__n64__b4,custom_fused,warm_pool,0,64,4,3,10,12402.712026843801,1.168300088611411,34.23777879495174,40,1.7505912780761719,0.0,0.0,50705.719446064904,3621.83710329035,0.0
20260228_195428,custom_fused__warm_pool__w4__n16__b1,custom_fused,warm_pool,4,16,1,3,10,9009.110623970628,6.9759666244606375,1.4334930968470871,10,1.2296867370605469,0.0,0.0,10061.440284596756,718.6743060426254,0.0
20260228_195428,custom_fused__warm_pool__w4__n16__b4,custom_fused,warm_pool,4,16,4,3,10,10436.958317877725,4.314977439910032,9.270036878995597,40,1.2631950378417969,0.0,0.0,19320.255448808894,1380.0182463434924,0.0
20260228_195428,custom_fused__warm_pool__w4__n64__b1,custom_fused,warm_pool,4,64,1,3,10,9046.56709707342,6.337952876732227,1.5777965211309493,10,1.2513847351074219,0.0,0.0,10206.314806360751,729.022486168625,0.0
20260228_195428,custom_fused__warm_pool__w4__n64__b4,custom_fused,warm_pool,4,64,4,3,10,12181.428377982229,4.121919558826179,9.70421654987149,40,1.2440910339355469,0.0,0.0,21545.977090718225,1538.9983636227303,0.0
20260228_195428,monai__warm_pool__w0__n16__b1,monai,warm_pool,0,16,1,3,10,11026.624681195244,2.7312221643704335,3.661364546045661,10,2.4597702026367188,0.0,0.0,14778.90578797087,1055.636127712205,0.0
20260228_195428,monai__warm_pool__w0__n16__b4,monai,warm_pool,0,16,4,3,10,9265.455027110875,2.4101561744496913,16.596434880048037,40,4.305423736572266,0.0,0.0,30178.333037067205,2155.595216933372,0.0
